Ad ID ,Category ,Locations ,Car Makes,Car Model,Year,Tax Type,Condition,Body Type,Fuel,Transmission,Color,Link,Title,Price,Year Used
9490622,Cars for Sale,Phnom Penh,Toyota,Prius,2005.0,Plate Number,Used,Sedan,Hybrid,Auto,Black,https://www.khmer24.com/en/cars/05-prius-to-salefull-option-adid-9490622.html,05 Prius to sale.(full option),"$10,000 ",18.0
9547794,Cars for Sale,Phnom Penh,Lexus,LX450d,2016.0,Plate Number,Used,SUV,Diesel,Auto,Gold,https://www.khmer24.com/en/cars/lexus-lx450d-2016-adid-9547794.html,Lexus LX450D 2016,"$103,000 ",7.0
9547793,Cars for Sale,Phnom Penh,Ford,Territory,2021.0,Plate Number,Used,SUV,Petrol,Auto,White,https://www.khmer24.com/en/cars/ford-territory-2021-%E1%9E%A1%E1%9E%93%E1%9E%9F%E1%9E%A2%E1%9E%8F-adid-9547793.html,Ford Territory 2021 ឡានស្អាត,"$36,000 ",2.0
9547792,Cars for Sale,Phnom Penh,Toyota,Prius,2010.0,Tax Paper,New,Sedan,Hybrid,Auto,Silver,https://www.khmer24.com/en/cars/prius-010-option2-%E1%9E%80%E1%9E%9A%E1%9E%8A%E1%9E%9F%E1%9E%96%E1%9E%93%E1%9E%92%E1%9E%90%E1%9E%98-%E1%9E%A1%E1%9E%93%E1%9E%9F%E1%9E%A2%E1%9E%8F%E1%9E%8E%E1%9E%9F-adid-9547792.html,Prius 010 Option2 (ក្រដាសពន្ធថ្មី) ឡានស្អាតណាស់,"$18,300 ",13.0
9529583,Cars for Sale,Phnom Penh,Peugeot,3008,2019.0,Plate Number,Used,SUV,Petrol,Auto,Other,https://www.khmer24.com/en/cars/peugoet-3008-year-2019-adid-9529583.html,Peugoet 3008 year 2019,"$39,500 ",4.0
9529598,Cars for Sale,Phnom Penh,Lexus,RC,2016.0,Tax Paper,Used,Sports,Petrol,Auto,Black,https://www.khmer24.com/en/cars/lexus-rc200t-2016-adid-9529598.html,Lexus RC200t 2016,"$42,500 ",7.0
9529807,Cars for Sale,Phnom Penh,Land Rover,Range Rover,2013.0,Plate Number,Used,,Petrol,Auto,White,https://www.khmer24.com/en/cars/range-rover-evoque-2013-adid-9529807.html,Range Rover Evoque 2013,"$31,500 ",10.0
9529821,Cars for Sale,Phnom Penh,Land Rover,Range Rover Vogue,2014.0,Plate Number,Used,SUV,Diesel,Auto,Black,https://www.khmer24.com/en/cars/rang-rover-vogue-hse-2014-adid-9529821.html,Rang Rover Vogue HSE 2014,"$59,500 ",9.0
9547791,Cars for Sale,Phnom Penh,Land Rover,Range Rover Vogue,2014.0,Tax Paper,Used,SUV,Petrol,Auto,White,https://www.khmer24.com/en/cars/range-rover-vouge-white-2014-adid-9547791.html,Range Rover Vouge White 2014 ,"$59,500 ",9.0
9547789,Cars for Sale,Phnom Penh,CHANGAN,UNI-T,2022.0,Plate Number,Used,SUV,Petrol,Auto,White,https://www.khmer24.com/en/cars/changan-uni-t-2022-%E1%9E%93%E1%9E%90%E1%9E%9899-adid-9547789.html,Changan Uni-T 2022 នៅថ្មី99%,"$35,000 ",1.0
